ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181307870,45-54,31.0,30.0,0.967741935483871,Even
2000,2181307870,55-64,10.0,9.0,0.9,Even
2000,2181307870,65+,10.0,9.0,0.9,Even
2000,2181307871,18-24,9.0,4.0,0.4444444444444444,Even
2000,2181307871,25-34,43.0,39.0,0.9069767441860465,Even
2000,2181307871,35-44,51.0,51.0,1.0,Even
2000,2181307871,45-54,42.0,40.0,0.9523809523809523,Even
2000,2181307871,55-64,11.0,11.0,1.0,Even
2000,2181307871,65+,2.0,2.0,1.0,Even
2000,2181307872,18-24,,0.0,,Even
2000,2181307872,25-34,6.0,5.0,0.8333333333333334,Even
2000,2181307872,35-44,11.0,11.0,1.0,Even
2000,2181307872,45-54,8.0,8.0,1.0,Even
2000,2181307872,55-64,7.0,7.0,1.0,Even
2000,2181307872,65+,4.0,4.0,1.0,Even
2000,2181307873,18-24,8.0,4.0,0.5,Even
2000,2181307873,25-34,21.0,21.0,1.0,Even
2000,2181307873,35-44,43.0,40.0,0.9302325581395349,Even
2000,2181307873,45-54,68.0,66.0,0.9705882352941176,Even
2000,2181307873,55-64,35.0,34.0,0.9714285714285714,Even
2000,2181307873,65+,15.0,14.0,0.9333333333333333,Even
2000,2181307874,18-24,10.0,6.0,0.6,Even
2000,2181307874,25-34,29.0,26.0,0.896551724137931,Even
2000,2181307874,35-44,79.0,72.0,0.9113924050632911,Even
2000,2181307874,45-54,116.0,111.0,0.9568965517241379,Even
2000,2181307874,55-64,58.0,58.0,1.0,Even
2000,2181307874,65+,24.0,22.0,0.9166666666666666,Even
2000,2181307875,18-24,1.0,0.0,0.0,Even
2000,2181307875,25-34,6.0,3.0,0.5,Even
2000,2181307875,35-44,11.0,9.0,0.8181818181818182,Even
2000,2181307875,45-54,10.0,10.0,1.0,Even
2000,2181307875,55-64,6.0,6.0,1.0,Even
2000,2181307875,65+,,0.0,,Even
2000,2181307876,18-24,,0.0,,Even
2000,2181307876,25-34,,0.0,,Even
2000,2181307876,35-44,6.0,5.0,0.8333333333333334,Even
2000,2181307876,45-54,1.0,1.0,1.0,Even
2000,2181307876,55-64,,0.0,,Even
2000,2181307876,65+,,0.0,,Even
2000,2181307877,18-24,1.0,1.0,1.0,Even
2000,2181307877,25-34,17.0,14.0,0.8235294117647058,Even
2000,2181307877,35-44,57.0,56.0,0.9824561403508771,Even
2000,2181307877,45-54,49.0,46.0,0.9387755102040817,Even
2000,2181307877,55-64,27.0,27.0,1.0,Even
2000,2181307877,65+,14.0,14.0,1.0,Even
2000,2181307878,18-24,4.0,3.0,0.75,Even
2000,2181307878,25-34,23.0,23.0,1.0,Even
2000,2181307878,35-44,36.0,31.0,0.8611111111111112,Even
2000,2181307878,45-54,57.0,54.0,0.9473684210526315,Even
2000,2181307878,55-64,31.0,31.0,1.0,Even
2000,2181307878,65+,12.0,12.0,1.0,Even
2000,2181307879,18-24,2.0,2.0,1.0,Even
2000,2181307879,25-34,12.0,9.0,0.75,Even
2000,2181307879,35-44,38.0,35.0,0.9210526315789473,Even
2000,2181307879,45-54,25.0,24.0,0.96,Even
